group,n,mean_directional_return,std_directional_return,positive_rate,scenario,basis,margin_bps
filled,24472,0.001810490761595027,0.010905475099682716,0.4659202353710363,theory_0bps_noslip,theory,0
not_filled,2588,0.006956078953268111,0.01081392613639724,0.6704018547140649,theory_0bps_noslip,theory,0
filled,24472,0.001810490761595027,0.010905475099682716,0.4659202353710363,theory_0bps_slip,theory,0
not_filled,2588,0.006956078953268111,0.01081392613639724,0.6704018547140649,theory_0bps_slip,theory,0
filled,24472,0.001810490761595027,0.010905475099682716,0.4659202353710363,theory_0bps_renorm_noslip,theory,0
not_filled,2588,0.006956078953268111,0.01081392613639724,0.6704018547140649,theory_0bps_renorm_noslip,theory,0
filled,24472,0.001810490761595027,0.010905475099682716,0.4659202353710363,theory_0bps_renorm_slip,theory,0
not_filled,2588,0.006956078953268111,0.01081392613639724,0.6704018547140649,theory_0bps_renorm_slip,theory,0
filled,23997,0.0017559125918553465,0.010950447671677445,0.4653915072717423,theory_5bps_noslip,theory,5
not_filled,3063,0.006585709364041341,0.010444795866679624,0.642833823049298,theory_5bps_noslip,theory,5
filled,23997,0.0017559125918553465,0.010950447671677445,0.4653915072717423,theory_5bps_slip,theory,5
not_filled,3063,0.006585709364041341,0.010444795866679624,0.642833823049298,theory_5bps_slip,theory,5
filled,23997,0.0017559125918553465,0.010950447671677445,0.4653915072717423,theory_5bps_renorm_noslip,theory,5
not_filled,3063,0.006585709364041341,0.010444795866679624,0.642833823049298,theory_5bps_renorm_noslip,theory,5
filled,23997,0.0017559125918553465,0.010950447671677445,0.4653915072717423,theory_5bps_renorm_slip,theory,5
not_filled,3063,0.006585709364041341,0.010444795866679624,0.642833823049298,theory_5bps_renorm_slip,theory,5
filled,23446,0.0017078879595156106,0.011023575254816759,0.4654098780175723,theory_10bps_noslip,theory,10
not_filled,3614,0.006160907899836295,0.01003343412314073,0.615661317100166,theory_10bps_noslip,theory,10
filled,23446,0.0017078879595156106,0.011023575254816759,0.4654098780175723,theory_10bps_slip,theory,10
not_filled,3614,0.006160907899836295,0.01003343412314073,0.615661317100166,theory_10bps_slip,theory,10
filled,23446,0.0017078879595156106,0.011023575254816759,0.4654098780175723,theory_10bps_renorm_noslip,theory,10
not_filled,3614,0.006160907899836295,0.01003343412314073,0.615661317100166,theory_10bps_renorm_noslip,theory,10
filled,23446,0.0017078879595156106,0.011023575254816759,0.4654098780175723,theory_10bps_renorm_slip,theory,10
not_filled,3614,0.006160907899836295,0.01003343412314073,0.615661317100166,theory_10bps_renorm_slip,theory,10
filled,22199,0.0015819014679284815,0.011184270830594954,0.4641650524798414,theory_20bps_noslip,theory,20
not_filled,4861,0.005593917210916892,0.009449325498437418,0.5828018926146883,theory_20bps_noslip,theory,20
filled,22199,0.0015819014679284815,0.011184270830594954,0.4641650524798414,theory_20bps_slip,theory,20
not_filled,4861,0.005593917210916892,0.009449325498437418,0.5828018926146883,theory_20bps_slip,theory,20
filled,22199,0.0015819014679284815,0.011184270830594954,0.4641650524798414,theory_20bps_renorm_noslip,theory,20
not_filled,4861,0.005593917210916892,0.009449325498437418,0.5828018926146883,theory_20bps_renorm_noslip,theory,20
filled,22199,0.0015819014679284815,0.011184270830594954,0.4641650524798414,theory_20bps_renorm_slip,theory,20
not_filled,4861,0.005593917210916892,0.009449325498437418,0.5828018926146883,theory_20bps_renorm_slip,theory,20
filled,20896,0.001401734226512337,0.011319733730067909,0.46114088820826954,theory_30bps_noslip,theory,30
not_filled,6164,0.005356590501558985,0.009211849485397147,0.567975340687865,theory_30bps_noslip,theory,30
filled,20896,0.001401734226512337,0.011319733730067909,0.46114088820826954,theory_30bps_slip,theory,30
not_filled,6164,0.005356590501558985,0.009211849485397147,0.567975340687865,theory_30bps_slip,theory,30
filled,20896,0.001401734226512337,0.011319733730067909,0.46114088820826954,theory_30bps_renorm_noslip,theory,30
not_filled,6164,0.005356590501558985,0.009211849485397147,0.567975340687865,theory_30bps_renorm_noslip,theory,30
filled,20896,0.001401734226512337,0.011319733730067909,0.46114088820826954,theory_30bps_renorm_slip,theory,30
not_filled,6164,0.005356590501558985,0.009211849485397147,0.567975340687865,theory_30bps_renorm_slip,theory,30
filled,18510,0.0010348296268760362,0.011674264241664858,0.4479740680713128,theory_50bps_noslip,theory,50
not_filled,8550,0.005047247468460345,0.00877393396624341,0.5666666666666667,theory_50bps_noslip,theory,50
filled,18510,0.0010348296268760362,0.011674264241664858,0.4479740680713128,theory_50bps_slip,theory,50
not_filled,8550,0.005047247468460345,0.00877393396624341,0.5666666666666667,theory_50bps_slip,theory,50
filled,18510,0.0010348296268760362,0.011674264241664858,0.4479740680713128,theory_50bps_renorm_noslip,theory,50
not_filled,8550,0.005047247468460345,0.00877393396624341,0.5666666666666667,theory_50bps_renorm_noslip,theory,50
filled,18510,0.0010348296268760362,0.011674264241664858,0.4479740680713128,theory_50bps_renorm_slip,theory,50
not_filled,8550,0.005047247468460345,0.00877393396624341,0.5666666666666667,theory_50bps_renorm_slip,theory,50
filled,24231,0.0016814351919889716,0.010860343215253553,0.45355123601997444,prev_close_-10bps_noslip,prev_close,-10
not_filled,2829,0.007623119869822059,0.010761806697237268,0.7589254153411099,prev_close_-10bps_noslip,prev_close,-10
filled,24231,0.0016814351919889716,0.010860343215253553,0.45355123601997444,prev_close_-10bps_slip,prev_close,-10
not_filled,2829,0.007623119869822059,0.010761806697237268,0.7589254153411099,prev_close_-10bps_slip,prev_close,-10
filled,24231,0.0016814351919889716,0.010860343215253553,0.45355123601997444,prev_close_-10bps_renorm_noslip,prev_close,-10
not_filled,2829,0.007623119869822059,0.010761806697237268,0.7589254153411099,prev_close_-10bps_renorm_noslip,prev_close,-10
filled,24231,0.0016814351919889716,0.010860343215253553,0.45355123601997444,prev_close_-10bps_renorm_slip,prev_close,-10
not_filled,2829,0.007623119869822059,0.010761806697237268,0.7589254153411099,prev_close_-10bps_renorm_slip,prev_close,-10
filled,23948,0.001605526256744541,0.010841231337811641,0.4498079171538333,prev_close_-5bps_noslip,prev_close,-5
not_filled,3112,0.007666940698037631,0.010743579369822258,0.7599614395886889,prev_close_-5bps_noslip,prev_close,-5
filled,23948,0.001605526256744541,0.010841231337811641,0.4498079171538333,prev_close_-5bps_slip,prev_close,-5
not_filled,3112,0.007666940698037631,0.010743579369822258,0.7599614395886889,prev_close_-5bps_slip,prev_close,-5
filled,23948,0.001605526256744541,0.010841231337811641,0.4498079171538333,prev_close_-5bps_renorm_noslip,prev_close,-5
not_filled,3112,0.007666940698037631,0.010743579369822258,0.7599614395886889,prev_close_-5bps_renorm_noslip,prev_close,-5
filled,23948,0.001605526256744541,0.010841231337811641,0.4498079171538333,prev_close_-5bps_renorm_slip,prev_close,-5
not_filled,3112,0.007666940698037631,0.010743579369822258,0.7599614395886889,prev_close_-5bps_renorm_slip,prev_close,-5
filled,23726,0.001558377670934376,0.01084638382109252,0.44702014667453427,prev_close_+0bps_noslip,prev_close,0
not_filled,3334,0.007598858316803348,0.010636168524259708,0.7591481703659269,prev_close_+0bps_noslip,prev_close,0
filled,23726,0.001558377670934376,0.01084638382109252,0.44702014667453427,prev_close_+0bps_slip,prev_close,0
not_filled,3334,0.007598858316803348,0.010636168524259708,0.7591481703659269,prev_close_+0bps_slip,prev_close,0
filled,23726,0.001558377670934376,0.01084638382109252,0.44702014667453427,prev_close_+0bps_renorm_noslip,prev_close,0
not_filled,3334,0.007598858316803348,0.010636168524259708,0.7591481703659269,prev_close_+0bps_renorm_noslip,prev_close,0
filled,23726,0.001558377670934376,0.01084638382109252,0.44702014667453427,prev_close_+0bps_renorm_slip,prev_close,0
not_filled,3334,0.007598858316803348,0.010636168524259708,0.7591481703659269,prev_close_+0bps_renorm_slip,prev_close,0
filled,20665,0.001353447886785532,0.011268951354675474,0.4707960319380595,prev_close_+5bps_noslip,prev_close,5
not_filled,6395,0.005369767266362527,0.00945787237925405,0.5329163408913213,prev_close_+5bps_noslip,prev_close,5
filled,20665,0.001353447886785532,0.011268951354675474,0.4707960319380595,prev_close_+5bps_slip,prev_close,5
not_filled,6395,0.005369767266362527,0.00945787237925405,0.5329163408913213,prev_close_+5bps_slip,prev_close,5
filled,20665,0.001353447886785532,0.011268951354675474,0.4707960319380595,prev_close_+5bps_renorm_noslip,prev_close,5
not_filled,6395,0.005369767266362527,0.00945787237925405,0.5329163408913213,prev_close_+5bps_renorm_noslip,prev_close,5
filled,20665,0.001353447886785532,0.011268951354675474,0.4707960319380595,prev_close_+5bps_renorm_slip,prev_close,5
not_filled,6395,0.005369767266362527,0.00945787237925405,0.5329163408913213,prev_close_+5bps_renorm_slip,prev_close,5
filled,20321,0.0012898128625912176,0.011288562848859181,0.46734904778308156,prev_close_+10bps_noslip,prev_close,10
not_filled,6739,0.005356636751460937,0.0094500371598982,0.5401394865707079,prev_close_+10bps_noslip,prev_close,10
filled,20321,0.0012898128625912176,0.011288562848859181,0.46734904778308156,prev_close_+10bps_slip,prev_close,10
not_filled,6739,0.005356636751460937,0.0094500371598982,0.5401394865707079,prev_close_+10bps_slip,prev_close,10
filled,20321,0.0012898128625912176,0.011288562848859181,0.46734904778308156,prev_close_+10bps_renorm_noslip,prev_close,10
not_filled,6739,0.005356636751460937,0.0094500371598982,0.5401394865707079,prev_close_+10bps_renorm_noslip,prev_close,10
filled,20321,0.0012898128625912176,0.011288562848859181,0.46734904778308156,prev_close_+10bps_renorm_slip,prev_close,10
not_filled,6739,0.005356636751460937,0.0094500371598982,0.5401394865707079,prev_close_+10bps_renorm_slip,prev_close,10
filled,19467,0.0011540466000718084,0.011402518506515668,0.4597524014999743,prev_close_+20bps_noslip,prev_close,20
not_filled,7593,0.005247311614014682,0.009269949815032442,0.5514289477150006,prev_close_+20bps_noslip,prev_close,20
filled,19467,0.0011540466000718084,0.011402518506515668,0.4597524014999743,prev_close_+20bps_slip,prev_close,20
not_filled,7593,0.005247311614014682,0.009269949815032442,0.5514289477150006,prev_close_+20bps_slip,prev_close,20
filled,19467,0.0011540466000718084,0.011402518506515668,0.4597524014999743,prev_close_+20bps_renorm_noslip,prev_close,20
not_filled,7593,0.005247311614014682,0.009269949815032442,0.5514289477150006,prev_close_+20bps_renorm_noslip,prev_close,20
filled,19467,0.0011540466000718084,0.011402518506515668,0.4597524014999743,prev_close_+20bps_renorm_slip,prev_close,20
not_filled,7593,0.005247311614014682,0.009269949815032442,0.5514289477150006,prev_close_+20bps_renorm_slip,prev_close,20
